smiles,Formula,Mass,HOFs,Td,Ro,D(km/s),P(GPa),Q(J/g),V(L/kg),T(K)
O=[N+]([O-])c1nnnc2[nH]nc([N+](=O)[O-])c12,C4HN7O4,211.1,595.7 ,283.0 ,1.887 ,8.65 ,34.7,6659,610,4063
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c2c1=O,C5H2N8O7,286.1,333.4 ,258.6 ,1.890 ,8.64 ,34.8,6140,626,3845
O=c1c2[nH]nc([N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],C5HN7O7,271.1,166.2 ,206.8 ,1.956 ,8.64 ,35.5,5779,599,3462
O=[N+]([O-])c1nc([N+](=O)[O-])c2c([N+](=O)[O-])[nH]nc2n1,C5HN7O6,255.1,367.2 ,260.6 ,1.941 ,8.64 ,35.3,6158,592,3650
O=[N+]([O-])c1nc([N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c2n1,C5HN7O6,255.1,372.9 ,259.4 ,1.938 ,8.64 ,35.3,6181,592,3663
Nc1c2nn([N+](=O)[O-])nnc-2c([N+](=O)[O-])c1[N+](=O)[O-],C5H2N8O6,270.1,445.7 ,255.6 ,1.909 ,8.64 ,35,6191,621,3850
Nn1nc2c(=O)n([N+](=O)[O-])nc([N+](=O)[O-])c2c1[N+](=O)[O-],C5H2N8O7,286.1,310.3 ,239.5 ,1.899 ,8.64 ,34.8,6059,626,3795
Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])nn(N)c3nnc1n3-2,C4H4N12O4,284.2,790.8 ,314.9 ,1.868 ,8.64 ,34.5,5874,709,4167
NN1c2nonc2N([N+](=O)[O-])c2nonc21,C4H2N8O4,226.1,707.4 ,210.6 ,1.838 ,8.64 ,34.2,6812,643,4386
O=c1[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])n(N[N+](=O)[O-])nc12,C5H2N8O7,286.1,263.8 ,204.6 ,1.916 ,8.64 ,35,5897,626,3693
O=c1c2n[nH]c([N+](=O)[O-])c2c([N+](=O)[O-])nn1N[N+](=O)[O-],C5H2N8O7,286.1,260.2 ,208.2 ,1.917 ,8.64 ,35,5884,626,3685
O=[N+]([O-])c1nc2nn[nH]c2c([N+](=O)[O-])c1[N+](=O)[O-],C5HN7O6,255.1,422.7 ,256.4 ,1.916 ,8.64 ,35,6375,592,3779
O=c1cc([N+](=O)[O-])n2c([N+](=O)[O-])nnc2n1[N+](=O)[O-],C5HN7O7,271.1,287.1 ,206.7 ,1.904 ,8.64 ,34.9,6225,599,3729
