smiles,Formula,Mass,HOFs,Td,Ro,D(km/s),P(GPa),Q(J/g),V(L/kg),T(K)
O=[N+]([O-])c1nnc2n1c1nnc([N+](=O)[O-])n1c1nnc([N+](=O)[O-])n21,C6N12O6,336.1,915.9 ,292.3 ,1.923 ,8.63 ,35,6238,599,3741
NN=c1c2nc([N+](=O)[O-])[nH]c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H3N9O7,301.1,222.4 ,223.7 ,1.934 ,8.63 ,35.1,5541,650,3606
O=c1[nH]c([N+](=O)[O-])nn2c([N+](=O)[O-])nc([N+](=O)[O-])c12,C5HN7O7,271.1,207.9 ,239.4 ,1.934 ,8.63 ,35.1,5933,599,3554
O=c1[nH]c([N+](=O)[O-])nc2c1c([N+](=O)[O-])nn2[N+](=O)[O-],C5HN7O7,271.1,178.9 ,221.5 ,1.946 ,8.63 ,35.2,5826,599,3490
O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2cc([N+](=O)[O-])nn12,C5HN7O7,271.1,265.5 ,213.6 ,1.910 ,8.63 ,34.9,6145,599,3681
Nc1c([N+](=O)[O-])nc2nnc([N+](=O)[O-])n2c1[N+](=O)[O-],C5H2N8O6,270.1,443.0 ,270.0 ,1.905 ,8.63 ,34.8,6181,621,3844
O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2ncc([N+](=O)[O-])n12,C5HN7O7,271.1,263.9 ,206.2 ,1.910 ,8.63 ,34.8,6140,599,3678
Nc1nnc2n([N+](=O)[O-])c(=O)c([N+](=O)[O-])c([N+](=O)[O-])n12,C5H2N8O7,286.1,266.3 ,209.8 ,1.910 ,8.63 ,34.8,5905,626,3698
NN=c1[nH]c(=O)n([N+](=O)[O-])c2c1nc([N+](=O)[O-])n2[N+](=O)[O-],C5H3N9O7,301.1,240.0 ,216.7 ,1.924 ,8.62 ,35,5599,650,3644
O=[N+]([O-])N=Cn1c([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n1c([N+](=O)[O-])c([N+](=O)[O-])nc21,C8HN11O10,411.2,704.5 ,212.4 ,1.893 ,8.62 ,34.6,6556,585,3839
O=[N+]([O-])N=Cn1nc([N+](=O)[O-])c2c([N+](=O)[O-])c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nc21,C8HN11O10,411.2,700.3 ,213.2 ,1.894 ,8.62 ,34.6,6546,585,3833
O=c1nc([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])n([N+](=O)[O-])c12,C5HN7O7,271.1,170.4 ,216.8 ,1.946 ,8.62 ,35.1,5795,599,3471
O=c1[nH]c2nn([N+](=O)[O-])nc2c([N+](=O)[O-])c1[N+](=O)[O-],C5HN7O7,271.1,185.6 ,233.6 ,1.939 ,8.62 ,35.1,5851,599,3505
O=[N+]([O-])Nc1c2c([N+](=O)[O-])n[nH]c2nc2c1c([N+](=O)[O-])nn2[N+](=O)[O-],C7H2N10O8,354.2,593.2 ,214.3 ,1.923 ,8.62 ,34.9,6250,600,3755
Nc1c2nnn(N[N+](=O)[O-])nc-2c([N+](=O)[O-])c1[N+](=O)[O-],C5H3N9O6,285.1,467.8 ,209.9 ,1.895 ,8.62 ,34.6,6022,648,3903
Nc1c2nnn([N+](=O)[O-])nc-2c([N+](=O)[O-])c1[N+](=O)[O-],C5H2N8O6,270.1,423.5 ,238.9 ,1.909 ,8.61 ,34.7,6109,621,3799
Nc1c([N+](=O)[O-])c2nnn([N+](=O)[O-])nc-2c1[N+](=O)[O-],C5H2N8O6,270.1,430.7 ,249.3 ,1.906 ,8.61 ,34.7,6135,621,3816
O=c1c2[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])nn1N[N+](=O)[O-],C5H2N8O7,286.1,259.4 ,208.7 ,1.910 ,8.61 ,34.7,5881,626,3683
O=c1c2nc([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])n1[N+](=O)[O-],C5HN7O7,271.1,157.7 ,214.7 ,1.950 ,8.61 ,35.1,5748,599,3443
O=[N+]([O-])c1nc2c(nc([N+](=O)[O-])n3c([N+](=O)[O-])c([N+](=O)[O-])nc23)[nH]1,C7HN9O8,339.1,482.7 ,272.4 ,1.957 ,8.61 ,35.2,6134,577,3545
O=[N+]([O-])c1nn([N+](=O)[O-])c2nnc3[nH]ncn1-n32,C4H2N10O4,254.1,693.2 ,252.9 ,1.883 ,8.61 ,34.4,6005,661,3970
O=c1[nH]c([N+](=O)[O-])nc2nc([N+](=O)[O-])n([N+](=O)[O-])c12,C5HN7O7,271.1,174.4 ,210.2 ,1.941 ,8.61 ,35,5810,599,3480
Nc1nc([N+](=O)[O-])c([N+](=O)[O-])c2nnc([N+](=O)[O-])n12,C5H2N8O6,270.1,434.4 ,248.2 ,1.902 ,8.61 ,34.6,6149,621,3824
O=c1[nH]c([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n2[N+](=O)[O-],C5HN7O7,271.1,164.3 ,214.4 ,1.944 ,8.60 ,35,5772,599,3458
Nc1nn([N+](=O)[O-])c(=O)c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],C5H2N8O7,286.1,253.6 ,220.5 ,1.909 ,8.60 ,34.6,5861,626,3671
Nn1c([N+](=O)[O-])c([N+](=O)[O-])c2nnc([N+](=O)[O-])n2c1=O,C5H2N8O7,286.1,273.6 ,247.4 ,1.901 ,8.60 ,34.6,5931,626,3714
Nc1nc2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])c2nc([N+](=O)[O-])c([N+](=O)[O-])n12,C7H3N11O8,369.2,561.0 ,230.6 ,1.929 ,8.60 ,34.8,5970,621,3713
Nc1c([N+](=O)[O-])nn2c([N+](=O)[O-])nnc2c1[N+](=O)[O-],C5H2N8O6,270.1,417.2 ,270.8 ,1.908 ,8.60 ,34.6,6085,621,3785
O=c1[nH]c(=O)n2c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nc([N+](=O)[O-])n12,C6HN9O8,327.1,193.2 ,240.5 ,1.983 ,8.60 ,35.4,5474,599,3279
O=c1n([N+](=O)[O-])ncc2c([N+](=O)[O-])c([N+](=O)[O-])nn12,C5HN7O7,271.1,265.7 ,206.0 ,1.901 ,8.60 ,34.5,6146,599,3682
Nc1nn([N+](=O)[O-])c2c(=O)n([N+](=O)[O-])nc([N+](=O)[O-])c12,C5H2N8O7,286.1,255.6 ,218.0 ,1.906 ,8.60 ,34.6,5868,626,3675
NN=c1c2[nH]c([N+](=O)[O-])nc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H3N9O7,301.1,200.1 ,217.4 ,1.931 ,8.60 ,34.8,5467,650,3558
NN=c1c2[nH]c([N+](=O)[O-])nc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H3N9O7,301.1,200.1 ,217.4 ,1.931 ,8.60 ,34.8,5467,650,3558
Nc1nn([N+](=O)[O-])c(=O)n2c([N+](=O)[O-])c([N+](=O)[O-])nc12,C5H2N8O7,286.1,237.3 ,215.0 ,1.913 ,8.60 ,34.6,5804,626,3635
O=c1[nH]c2nc([N+](=O)[O-])nn2c([N+](=O)[O-])c1[N+](=O)[O-],C5HN7O7,271.1,135.8 ,227.8 ,1.954 ,8.59 ,35,5667,599,3395
Nc1c([N+](=O)[O-])c([N+](=O)[O-])n2nnnc2c1[N+](=O)[O-],C5H2N8O6,270.1,427.4 ,263.5 ,1.902 ,8.59 ,34.5,6123,621,3808
O=[N+]([O-])c1nc([N+](=O)[O-])c2[nH]nc([N+](=O)[O-])c2n1,C5HN7O6,255.1,346.3 ,266.1 ,1.935 ,8.59 ,34.8,6076,592,3601
Nn1c(=O)c2c(c([N+](=O)[O-])nn2[N+](=O)[O-])n([N+](=O)[O-])c1=O,C5H2N8O8,302.1,43.6 ,214.1 ,1.925 ,8.59 ,34.7,5507,630,3471
O=c1c([N+](=O)[O-])c([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])nn12,C5HN7O7,271.1,144.3 ,264.4 ,1.949 ,8.59 ,35,5699,599,3413
Nn1c(=O)n([N+](=O)[O-])c(=O)c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],C5H2N8O8,302.1,55.2 ,228.9 ,1.921 ,8.59 ,34.7,5545,630,3495
O=c1[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])nn(N[N+](=O)[O-])c12,C5H2N8O7,286.1,245.4 ,201.3 ,1.909 ,8.59 ,34.5,5832,626,3653
Nc1nc2onc([N+](=O)[O-])n2c1[N+](=O)[O-],C4H2N6O5,214.1,314.5 ,223.3 ,1.879 ,8.59 ,34.2,6279,627,3941
Nc1nn([N+](=O)[O-])c(=O)c2nn([N+](=O)[O-])c([N+](=O)[O-])c12,C5H2N8O7,286.1,222.9 ,219.5 ,1.916 ,8.59 ,34.6,5754,626,3603
Nc1nn(C=N[N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C5H3N13O6,341.2,791.1 ,201.9 ,1.852 ,8.59 ,33.9,5981,672,4025
Nc1c([N+](=O)[O-])c2nn([N+](=O)[O-])nc2n([N+](=O)[O-])c1=O,C5H2N8O7,286.1,216.2 ,208.3 ,1.918 ,8.59 ,34.6,5731,626,3589
O=c1[nH]c([N+](=O)[O-])nc2c([N+](=O)[O-])nn([N+](=O)[O-])c12,C5HN7O7,271.1,160.2 ,218.5 ,1.940 ,8.59 ,34.8,5757,599,3449
Nc1c([N+](=O)[O-])nn2c(=O)n([N+](=O)[O-])nc([N+](=O)[O-])c12,C5H2N8O7,286.1,231.0 ,236.9 ,1.912 ,8.59 ,34.5,5782,626,3621
Nc1c([N+](=O)[O-])c([N+](=O)[O-])c2nnnn2c1[N+](=O)[O-],C5H2N8O6,270.1,428.7 ,265.0 ,1.898 ,8.59 ,34.4,6128,621,3811
Nc1nn(N[N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc(N)n1-n23,C4H5N13O4,299.2,737.9 ,242.1 ,1.881 ,8.59 ,34.2,5479,730,4000
O=c1[nH]nnc2c([N+](=O)[O-])nc([N+](=O)[O-])n12,C4HN7O5,227.1,356.8 ,235.6 ,1.903 ,8.58 ,34.4,6005,616,3702
NN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n1C=N[N+](=O)[O-],C6H3N11O8,357.2,508.4 ,205.7 ,1.873 ,8.58 ,34.1,6024,642,3872
N=c1c2[nH]c([N+](=O)[O-])nc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H2N8O7,286.1,122.5 ,225.2 ,1.957 ,8.58 ,35,5403,626,3384
N=c1c2[nH]c([N+](=O)[O-])nc2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H2N8O7,286.1,122.5 ,225.2 ,1.957 ,8.58 ,35,5403,626,3384
O=[N+]([O-])Nc1n[nH]c2nnc3[nH]nc(N[N+](=O)[O-])n1-n23,C4H4N12O4,284.2,687.9 ,208.2 ,1.892 ,8.58 ,34.3,5512,709,3911
O=[N+]([O-])N=Cc1nn([N+](=O)[O-])c2nc3c(c([N+](=O)[O-])nn3[N+](=O)[O-])c([N+](=O)[O-])c12,C8HN11O10,411.2,666.9 ,206.5 ,1.890 ,8.58 ,34.3,6464,585,3786
O=[N+]([O-])c1cc2nnc([N+](=O)[O-])n2c([N+](=O)[O-])n1,C5HN7O6,255.1,465.1 ,244.2 ,1.882 ,8.58 ,34.2,6542,592,3877
Nn1nc(C=N[N+](=O)[O-])n2c([N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,C5H3N13O6,341.2,796.5 ,210.2 ,1.848 ,8.58 ,33.8,5997,672,4035
Nn1c(=O)c([N+](=O)[O-])c([N+](=O)[O-])n2c([N+](=O)[O-])nnc12,C5H2N8O7,286.1,277.5 ,255.2 ,1.892 ,8.58 ,34.3,5945,626,3723
Nc1nnc2nc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,C5H2N8O6,270.1,425.7 ,256.9 ,1.897 ,8.58 ,34.3,6117,621,3804
Nc1nn2c([N+](=O)[O-])nnc2c([N+](=O)[O-])c1[N+](=O)[O-],C5H2N8O6,270.1,438.8 ,270.4 ,1.892 ,8.58 ,34.3,6165,621,3834
O=[N+]([O-])c1nc2[nH]nnc2c([N+](=O)[O-])c1[N+](=O)[O-],C5HN7O6,255.1,387.9 ,232.7 ,1.912 ,8.58 ,34.5,6239,592,3698
O=[N+]([O-])N=Cn1nc([N+](=O)[O-])c2c1nnn1c([N+](=O)[O-])c([N+](=O)[O-])nc21,C7HN11O8,367.2,804.5 ,211.7 ,1.878 ,8.58 ,34.1,6542,594,3891
O=c1n(N[N+](=O)[O-])c(=O)n2c3c([N+](=O)[O-])n[nH]c3nc([N+](=O)[O-])n12,C6H2N10O8,342.1,223.9 ,219.0 ,1.964 ,8.58 ,35,5390,621,3352
Nn1nc([N+](=O)[O-])n2cnn([N+](=O)[O-])c3nnc1n3-2,C4H3N11O4,269.1,788.3 ,291.9 ,1.841 ,8.58 ,33.7,6108,686,4194
O=[N+]([O-])N=Cn1nc([N+](=O)[O-])c2[nH]nc([N+](=O)[O-])c21,C5H2N8O6,270.1,459.3 ,218.0 ,1.883 ,8.58 ,34.1,6241,621,3882
Nn1c(=O)c2c(c([N+](=O)[O-])nn2[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],C5H3N9O8,317.1,116.4 ,200.5 ,1.895 ,8.57 ,34.2,5548,653,3625
O=[N+]([O-])N1c2nonc2Nc2nonc21,C4HN7O4,211.1,634.2 ,201.1 ,1.847 ,8.57 ,33.7,6842,610,4174
O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2c([N+](=O)[O-])cnn12,C5HN7O7,271.1,269.1 ,216.7 ,1.891 ,8.57 ,34.2,6159,599,3689
O=c1n([N+](=O)[O-])cc([N+](=O)[O-])c2nnc([N+](=O)[O-])n12,C5HN7O7,271.1,273.5 ,204.8 ,1.889 ,8.57 ,34.2,6175,599,3699
Nn1c(=O)c2c([N+](=O)[O-])nn([N+](=O)[O-])c2n([N+](=O)[O-])c1=O,C5H2N8O8,302.1,33.4 ,208.2 ,1.922 ,8.57 ,34.5,5473,630,3449
Nc1nc([N+](=O)[O-])n2nc([N+](=O)[O-])n([N+](=O)[O-])c(=O)c12,C5H2N8O7,286.1,202.1 ,204.7 ,1.919 ,8.57 ,34.5,5681,626,3558
Nn1nc([N+](=O)[O-])c2c1c(=O)n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],C5H2N8O8,302.1,50.2 ,207.1 ,1.915 ,8.57 ,34.4,5529,630,3484
Nc1c([N+](=O)[O-])c2nnn(N[N+](=O)[O-])nc-2c1[N+](=O)[O-],C5H3N9O6,285.1,451.3 ,218.6 ,1.887 ,8.57 ,34.1,5965,648,3865
O=[N+]([O-])N=Cn1nc([N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c21,C5H2N8O6,270.1,466.6 ,213.8 ,1.878 ,8.57 ,34,6268,621,3898
Nc1c([N+](=O)[O-])nc2n([N+](=O)[O-])c([N+](=O)[O-])nn2c1=O,C5H2N8O7,286.1,180.8 ,220.3 ,1.927 ,8.57 ,34.5,5607,626,3511
NN=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])[nH]c(=O)n2[N+](=O)[O-],C5H3N9O7,301.1,197.9 ,207.5 ,1.923 ,8.57 ,34.5,5460,650,3553
Nc1nc([N+](=O)[O-])c2nc([N+](=O)[O-])nc-2n1N[N+](=O)[O-],C5H3N9O6,285.1,384.8 ,206.3 ,1.913 ,8.57 ,34.4,5731,648,3714
O=[N+]([O-])c1cnn2c([N+](=O)[O-])nnc2c1[N+](=O)[O-],C5HN7O6,255.1,486.4 ,252.5 ,1.869 ,8.57 ,33.9,6625,592,3927
O=[N+]([O-])c1nc2[nH]c([N+](=O)[O-])nc([N+](=O)[O-])c-2n1,C5HN7O6,255.1,324.6 ,270.0 ,1.936 ,8.57 ,34.6,5991,592,3551
Nn1nc([N+](=O)[O-])c2c(=O)n([N+](=O)[O-])c(=O)n([N+](=O)[O-])c21,C5H2N8O8,302.1,46.5 ,203.7 ,1.916 ,8.57 ,34.4,5517,630,3477
O=[N+]([O-])c1cc([N+](=O)[O-])n2c([N+](=O)[O-])nnc2n1,C5HN7O6,255.1,452.5 ,268.9 ,1.881 ,8.56 ,34,6492,592,3848
Nc1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])ncn1-n32,C4H3N11O4,269.1,721.9 ,276.4 ,1.864 ,8.56 ,33.9,5861,686,4024
Nc1nn(N)c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4H4N12O4,284.2,751.2 ,281.9 ,1.860 ,8.56 ,33.8,5735,709,4069
O=[N+]([O-])c1cnc2nnc([N+](=O)[O-])n2c1[N+](=O)[O-],C5HN7O6,255.1,468.2 ,264.9 ,1.875 ,8.56 ,34,6554,592,3884
O=c1c2[nH]c([N+](=O)[O-])nc2nc([N+](=O)[O-])n1[N+](=O)[O-],C5HN7O7,271.1,131.9 ,200.2 ,1.946 ,8.56 ,34.7,5653,599,3386
O=[N+]([O-])c1n[nH]c2nc3c(c([N+](=O)[O-])nn3[N+](=O)[O-])c([N+](=O)[O-])c12,C7HN9O8,339.1,522.8 ,285.0 ,1.930 ,8.56 ,34.5,6252,577,3613
Nn1nc([N+](=O)[O-])c2c(=O)n([N+](=O)[O-])c([N+](=O)[O-])nc21,C5H2N8O7,286.1,203.9 ,202.6 ,1.916 ,8.56 ,34.4,5687,626,3562
O=[N+]([O-])Nc1n[nH]c2nc3c(c([N+](=O)[O-])nn3[N+](=O)[O-])c([N+](=O)[O-])c12,C7H2N10O8,354.2,564.8 ,208.0 ,1.915 ,8.56 ,34.4,6169,600,3707
Nn1c(=O)n([N+](=O)[O-])c(=O)c2c([N+](=O)[O-])nn([N+](=O)[O-])c21,C5H2N8O8,302.1,41.4 ,225.6 ,1.916 ,8.56 ,34.4,5500,630,3466
N=c1c2c(ncn2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H2N8O7,286.1,210.3 ,201.2 ,1.913 ,8.56 ,34.3,5710,626,3576
N=c1c2c(ncn2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H2N8O7,286.1,210.3 ,201.2 ,1.913 ,8.56 ,34.3,5710,626,3576
O=c1c([N+](=O)[O-])c([N+](=O)[O-])nc2[nH]c([N+](=O)[O-])nn12,C5HN7O7,271.1,126.0 ,256.3 ,1.947 ,8.56 ,34.7,5631,599,3373
N=c1[nH]c([N+](=O)[O-])nc2c1n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],C5H2N8O7,286.1,147.4 ,220.2 ,1.939 ,8.56 ,34.6,5490,626,3438
Nc1nc2c([N+](=O)[O-])nn([N+](=O)[O-])c(=O)n2c1[N+](=O)[O-],C5H2N8O7,286.1,232.4 ,230.9 ,1.904 ,8.56 ,34.2,5787,626,3624
O=[N+]([O-])N=Cc1nc2c(nc([N+](=O)[O-])n3c([N+](=O)[O-])c([N+](=O)[O-])nc23)n1[N+](=O)[O-],C8HN11O10,411.2,666.8 ,209.3 ,1.883 ,8.56 ,34,6464,585,3786
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])n([N+](=O)[O-])nc2c1=O,C5H2N8O7,286.1,285.9 ,257.2 ,1.883 ,8.56 ,34,5974,626,3741
O=[N+]([O-])c1cn2nnnc2c([N+](=O)[O-])c1[N+](=O)[O-],C5HN7O6,255.1,457.0 ,230.3 ,1.878 ,8.56 ,34,6510,592,3858
Nc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n2nnnc12,C5H2N8O6,270.1,414.9 ,254.2 ,1.896 ,8.56 ,34.1,6077,621,3779
Nc1n[nH]c2nnc3n(N[N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4H4N12O4,284.2,705.2 ,232.2 ,1.877 ,8.56 ,34,5573,709,3954
Nn1nnc2c([N+](=O)[O-])nc([N+](=O)[O-])c([N+](=O)[O-])c21,C5H2N8O6,270.1,475.0 ,270.2 ,1.872 ,8.56 ,33.9,6299,621,3918
O=c1[nH]c2nnnn2c([N+](=O)[O-])c1[N+](=O)[O-],C4HN7O5,227.1,307.0 ,234.2 ,1.920 ,8.56 ,34.4,5786,616,3567
Nc1c2nn(N[N+](=O)[O-])nnc-2c([N+](=O)[O-])c1[N+](=O)[O-],C5H3N9O6,285.1,442.1 ,210.8 ,1.887 ,8.56 ,34.1,5932,648,3845
O=c1c([N+](=O)[O-])cn2c([N+](=O)[O-])nnc2n1[N+](=O)[O-],C5HN7O7,271.1,275.2 ,205.4 ,1.884 ,8.56 ,34,6181,599,3703
O=[N+]([O-])c1cnc([N+](=O)[O-])n2c([N+](=O)[O-])nnc12,C5HN7O6,255.1,472.1 ,257.0 ,1.872 ,8.56 ,33.9,6569,592,3893
Nc1nn([N+](=O)[O-])c(=O)n2nc([N+](=O)[O-])c([N+](=O)[O-])c12,C5H2N8O7,286.1,221.1 ,203.6 ,1.907 ,8.56 ,34.2,5748,626,3600
O=c1c2c(ncn1[N+](=O)[O-])c([N+](=O)[O-])nn2[N+](=O)[O-],C5HN7O7,271.1,235.4 ,203.1 ,1.900 ,8.56 ,34.2,6034,599,3615
Nn1c2nc([N+](=O)[O-])nc-2c([N+](=O)[O-])nc1[N+](=O)[O-],C5H2N8O6,270.1,410.5 ,270.0 ,1.897 ,8.56 ,34.1,6060,621,3769
O=c1nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])[nH]c12,C5HN7O7,271.1,134.7 ,210.5 ,1.942 ,8.56 ,34.6,5663,599,3392
O=[N+]([O-])c1noc2c([N+](=O)[O-])[nH]nc12,C4HN5O5,199.1,254.4 ,236.0 ,1.897 ,8.56 ,34.1,6336,590,3742
NN=c1c2c(ncn2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H3N9O7,301.1,272.7 ,202.4 ,1.890 ,8.56 ,34.1,5708,650,3715
NN=c1c2c(ncn2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H3N9O7,301.1,272.7 ,202.4 ,1.890 ,8.56 ,34.1,5708,650,3715
NN=c1[nH]c(=O)n([N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c12,C5H3N9O7,301.1,219.6 ,206.2 ,1.911 ,8.56 ,34.3,5532,650,3600
NN=c1[nH]c(=O)n([N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c12,C5H3N9O7,301.1,219.6 ,206.2 ,1.911 ,8.56 ,34.3,5532,650,3600
O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2nc([N+](=O)[O-])cn12,C5HN7O7,271.1,231.0 ,208.4 ,1.901 ,8.56 ,34.2,6018,599,3605
Nc1nc([N+](=O)[O-])n2c([N+](=O)[O-])nnc2c1[N+](=O)[O-],C5H2N8O6,270.1,406.6 ,251.5 ,1.898 ,8.56 ,34.1,6046,621,3760
O=[N+]([O-])c1nc2nncn2c([N+](=O)[O-])c1[N+](=O)[O-],C5HN7O6,255.1,443.3 ,236.9 ,1.882 ,8.56 ,34,6456,592,3826
O=c1n([N+](=O)[O-])c(=O)n2c3c([N+](=O)[O-])n[nH]c3nc([N+](=O)[O-])n12,C6HN9O8,327.1,170.8 ,241.4 ,1.977 ,8.55 ,34.9,5405,599,3238
Nn1c(=O)c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n([N+](=O)[O-])c1=O,C5H2N8O8,302.1,40.5 ,222.4 ,1.914 ,8.55 ,34.3,5497,630,3464
Nn1c([N+](=O)[O-])nc2c(c1=O)n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],C5H2N8O8,302.1,54.2 ,206.3 ,1.909 ,8.55 ,34.2,5542,630,3493
Nc1nnc2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])nn12,C5H2N8O6,270.1,422.6 ,235.6 ,1.891 ,8.55 ,34.1,6105,621,3797
Nn1nnc2c([N+](=O)[O-])c([N+](=O)[O-])nc([N+](=O)[O-])c21,C5H2N8O6,270.1,471.6 ,271.2 ,1.871 ,8.55 ,33.9,6286,621,3910
O=c1[nH]c([N+](=O)[O-])nc2c([N+](=O)[O-])nc([N+](=O)[O-])n12,C5HN7O7,271.1,165.0 ,251.3 ,1.928 ,8.55 ,34.4,5775,599,3459
O=[N+]([O-])c1n[nH]c2nnc3n([N+](=O)[O-])ncn1-n23,C4H2N10O4,254.1,679.1 ,280.2 ,1.872 ,8.55 ,33.8,5950,661,3933
Nn1ncn2c([N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,C4H3N11O4,269.1,748.6 ,280.6 ,1.849 ,8.55 ,33.6,5961,686,4093
O=[N+]([O-])c1cc([N+](=O)[O-])c2nnnn2c1[N+](=O)[O-],C5HN7O6,255.1,451.4 ,259.9 ,1.877 ,8.55 ,33.9,6488,592,3845
O=[N+]([O-])c1nn2c([N+](=O)[O-])cnnc2c1[N+](=O)[O-],C5HN7O6,255.1,464.5 ,253.3 ,1.872 ,8.55 ,33.8,6539,592,3876
Nc1nn(N)c2nnc3n(N[N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4H5N13O4,299.2,788.2 ,266.6 ,1.850 ,8.55 ,33.6,5647,730,4122
NN=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])[nH]c(=O)n1[N+](=O)[O-],C5H3N9O7,301.1,217.2 ,206.9 ,1.910 ,8.55 ,34.2,5524,650,3595
NN=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])[nH]c(=O)n1[N+](=O)[O-],C5H3N9O7,301.1,217.2 ,206.9 ,1.910 ,8.55 ,34.2,5524,650,3595
Nc1c([N+](=O)[O-])nc([N+](=O)[O-])n2c([N+](=O)[O-])nnc12,C5H2N8O6,270.1,414.6 ,250.9 ,1.893 ,8.55 ,34,6076,621,3779
NN=c1c2ncn([N+](=O)[O-])c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H3N9O7,301.1,276.3 ,200.9 ,1.887 ,8.55 ,34,5720,650,3723
O=c1c2c([N+](=O)[O-])n[nH]c2nc2n(N[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,C7H2N10O9,370.2,386.3 ,229.1 ,1.914 ,8.55 ,34.3,5953,605,3602
O=c1cc([N+](=O)[O-])n2nc([N+](=O)[O-])nc2n1[N+](=O)[O-],C5HN7O7,271.1,212.4 ,211.3 ,1.907 ,8.55 ,34.2,5950,599,3564
Nc1nnc2c([N+](=O)[O-])c([N+](=O)[O-])nc([N+](=O)[O-])n12,C5H2N8O6,270.1,407.8 ,241.2 ,1.895 ,8.55 ,34.1,6050,621,3763
Nn1nc([N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c(=O)c21,C5H2N8O7,286.1,209.6 ,211.1 ,1.909 ,8.55 ,34.2,5707,626,3574
O=c1cc([N+](=O)[O-])nc2n([N+](=O)[O-])nc([N+](=O)[O-])n12,C5HN7O7,271.1,220.1 ,207.9 ,1.903 ,8.55 ,34.1,5978,599,3581
Nc1nc([N+](=O)[O-])n2c([N+](=O)[O-])c([N+](=O)[O-])nc2n1,C5H2N8O6,270.1,396.6 ,254.2 ,1.899 ,8.55 ,34.1,6009,621,3737
O=[N+]([O-])Nc1nnc2n1c1nnc([N+](=O)[O-])n1c1nnc([N+](=O)[O-])n21,C6HN13O6,351.2,901.9 ,209.1 ,1.900 ,8.55 ,34.1,5996,621,3729
