Ro,smiles
1.385,COc1cc(/N=C/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
1.5935,[O-][N+](=O)c1cc(C)c(c(c1C)[N+](=O)[O-])[N+](=O)[O-]
1.4543,O=C1N[C@@H](c2ccccc2)C(=C(N1)c1ccccc1O)[N+](=O)[O-]
1.8422,[O-][N+](=O)c1nc(cn1c1c([N+](=O)[O-])c(N)c(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
1.425,CO/C(=N/C(=O)c1ccccc1)/Nc1ccccc1[N+](=O)[O-]
1.4428,O=C(c1ccc(cc1)[N+](=O)[O-])N1[C@@H]2[C@H]1COCOC2
1.4839,[O-][N+](=O)c1ccc(cc1)n1nnc(c1)c1ccccc1
1.7223,CN(c1nc(N([N+](=O)[O-])C)c(nc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
1.4478,O=C(Nc1ccc(cc1[N+](=O)[O-])C)CCC(=O)O
1.5418,[O-][N+](=O)c1ccc(cc1)C1=CO[C@@H]2O[C@H]1OC=C2c1ccc(cc1)[N+](=O)[O-]
1.868,Nn1nc(c(n1)[N+](=O)[O-])[N+](=O)[O-]
1.4015,CC(=O)Oc1cccc(c1C)C(=O)Nc1ccc(cc1)[N+](=O)[O-]
1.5447,CCOC(=O)[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O[N+](=O)[O-])[N+](=O)[O-]
1.3794,O=C1Cc2ccccc2[C@H](N1)c1cccc(c1)[N+](=O)[O-]
1.5965,COc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
1.4216,Cc1cccc(n1)Cc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
1.384,Cc1ccnc(c1)c1nccc(c1)Cc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
1.3909,CCOc1cccc(c1O)/C=N/c1ccc(cc1)[N+](=O)[O-]
1.2809,OC[C@@]1(CN(C[C@@H]1c1ccc(cc1)OC)C)[N+](=O)[O-]
1.4473,COc1ccc(c(c1)O)/C=N/c1cccc(c1)[N+](=O)[O-]
1.4667,[O-][N+](=O)c1cccc2c1c1ccccc1nn2
1.5736,N#[N+][N-]c1ccc(cc1)[N+](=O)[O-]
1.2164,CN(/N=C(/c1ccc(cc1)[N+](=O)[O-])\C=N\N(C)C)C
1.4752,COc1ccccc1C(=O)N/N=C/c1cc(O)ccc1[N+](=O)[O-]
1.5415,[O-][N+](=O)c1c(ccc2c1non2)Nc1ccc(cc1)C(=O)C
1.4294,CN1CN/C(=N\[N+](=O)[O-])/N(C1)C
1.4612,O=C1CCCN1c1cccc(c1)[N+](=O)[O-]
1.4365,[O-][N+](=O)/N=C/1\NCCN1Cc1noc(c1)c1ccccc1
1.3608,CC1=NN([C@@H](C1)c1ccco1)c1ccc(cc1)[N+](=O)[O-]
1.646,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2C[C@@H]3C[C@H]1C([C@H](C2)C3)([N+](=O)[O-])[N+](=O)[O-]
1.4026,O[C@@H](Cn1ccnc1[N+](=O)[O-])CN1CC1
1.2848,C[C@@H](c1ccccc1)NC(=O)c1ccc(cc1)[N+](=O)[O-]
1.425,[O-][N+](=O)c1cccc2c1CN2
1.5224,[O-][N+](=O)c1ccc(c2c1non2)N1CCCC1
1.3505,O[C@H](C([N+](=O)[O-])(C)C)c1ccncc1
1.5032,O/N=C(/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C)\C
1.7174,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-]
1.382,[O-][N+](=O)/C=C/c1nc2c(n1C)cccc2
1.5178,COC(N([N+](=O)[O-])C)N([N+](=O)[O-])C
1.5186,OC(=O)[C@@H]1CCCN/C(=N/[N+](=O)[O-])/N1
1.552,Nc1ccc(c(c1)N)[N+](=O)[O-]
1.643,CNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
1.6009,OC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
1.3652,O=C1CC(C)(C)CC(=O)C1=NNc1ccc(cc1)[N+](=O)[O-]
1.502,[O-][N+](=O)c1ccc(cc1)N=C=Nc1ccc(cc1)[N+](=O)[O-]
1.3827,Cc1ccc(cc1)Oc1ccc(cn1)[N+](=O)[O-]
1.4264,[O-][N+](=O)c1ccc(cc1)/C=C\c1ccc(cc1)[N+](=O)[O-]
1.7145,Oc1ccc(c2c1C(=O)c1c(C2=O)c(O)ccc1[N+](=O)[O-])[N+](=O)[O-]
1.8682,[O-][N+](=O)c1c(O)[nH]c(=O)[nH]c1=O
1.444,CC(=O)Nc1ccc(c(c1)[N+](=O)[O-])OC(=O)C
1.497,[O-][N+](=O)[C@]12C[C@H]3[C@H]4[C@@H](C2)[C@H]2[C@@H](C1)[C@@H]3C[C@@](C4)(C2)[N+](=O)[O-]
1.4506,COc1cc(/C=N/N=C/c2ccc(cc2)[N+](=O)[O-])ccc1O
1.5156,NNC(=O)c1cccc(c1)[N+](=O)[O-]
1.4485,COc1ccc(cc1)C(=O)Nc1ccc(cc1[N+](=O)[O-])OC
1.2227,C/C(=N\c1cc(C)cc(c1)C)/c1ccc(cc1)[N+](=O)[O-]
1.4842,Cn1cc2c(n1)c(ccc2)[N+](=O)[O-]
1.8396,[O-][N+](=O)C(c1nonc1Oc1nonc1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
1.427,[O-][N+](=O)c1ccc(cc1)N1C[C@H]2[C@@]3(C1=CC(=O)c1c3cccc1)C2
1.4779,[O-][N+](=O)OCCNC(=O)c1cccnc1
1.6232,NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
1.4955,O=Cc1c(ccc2c1cccc2)Oc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
1.4106,[O-][N+](=O)C1=C/C(=C/NCC)/C(=O)C=C1
1.3843,[O-][N+](=O)c1ccc(cc1)n1nnc(c1)Cc1ccccc1
1.3616,[O-][N+](=O)c1ccc(cc1)n1nnc2c1CC(C)(C)CC2=O
1.6689,[O-][N+](=O)c1cnc2n1CCO2
1.4803,O=Cc1cccn1c1ccc(cc1)[N+](=O)[O-]
1.4159,O=c1c2cc(ccc2n2n1CCCCC2)[N+](=O)[O-]
1.592,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
1.7933,[O-][N+](=O)N1CCCNC1=C([N+](=O)[O-])[N+](=O)[O-]
1.5054,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCC(=C1[N+](=O)[O-])C)[N+](=O)[O-]
1.356,COc1ccc(cc1)/C=C(/[N+](=O)[O-])\C#N
1.4557,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)NCCOC
1.6618,[O-][N+](=O)[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42[N+](=O)[O-]
1.4869,CCOC(=O)/C(=C(\O)/C)/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
1.5908,OC[C@H]1O[C@H](C[C@@H]1O)n1cc(c2c1ncnc2N)[N+](=O)[O-]
1.3935,O[C@H]1CCN(C1)/C(=N/C(=O)OCc1ccc(cc1)[N+](=O)[O-])/C
1.2882,CC(=O)N(c1c(C)ccc(c1[N+](=O)[O-])C)C(=O)C
1.46,C/C(=N\Nc1ccc(cc1)[N+](=O)[O-])/c1c(O)cc(oc1=O)C
1.3768,Oc1ccc(cc1/C=N/c1ccccc1Oc1ccccc1)[N+](=O)[O-]
1.7112,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])n1c(C)nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-]
1.5401,[O-][N+](=O)[C@]1(C)N=NC[C@H]1[C@H]1CN=N[C@]1(C)[N+](=O)[O-]
1.3724,O=C1C=CC(=C/C/1=C/NCCN1CCOCC1)[N+](=O)[O-]
1.5452,Cc1nn2c(c1)[nH]nc2c1cccc(c1)[N+](=O)[O-]
1.613,[O-][N+](=O)Nc1ccc[n+](c1)[O-]
1.5238,O=C1OC(C)(C)OC(=O)C1=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
1.351,O=C(c1ccccc1C)N/N=C/c1ccc(cc1)[N+](=O)[O-]
1.2713,[O-][N+](=O)C1=C(C)NC(=C2[C@H]1CC(C)(C)CC2=O)C
1.3733,[O-][N+](=O)c1ccc(c(c1)N)C
1.4637,O=C(c1ccc(cc1)[N+](=O)[O-])Cn1ccccc1=O
1.356,CN1C=C(c2ccccc2)[C@H](NC1=O)c1ccc(cc1)[N+](=O)[O-]
1.6096,[O-][N+](=O)O[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3[C@H]2O[N+](=O)[O-]
1.575,COC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
1.6489,CC(=O)O[C@@H]1N(CCN([C@H]1O)[N+](=O)[O-])[N+](=O)[O-]
1.2946,CC1=CC(C)(C)Nc2c1cc(cc2)[N+](=O)[O-]
1.5195,O=C(c1ccc(cc1)[N+](=O)[O-])C[N-][N+]#N
1.7081,O=c1oc(=O)c2c([nH]1)c(ccc2)[N+](=O)[O-]
1.4613,O[C@H]1CCCC[C@@H]1OC(=O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
1.4022,[O-][N+](=O)c1ccc(c2c1non2)NCCCC
1.4978,[O-][N+](=O)c1ncn(c1)c1ncn(c1)c1ccccc1
1.4321,[O-][N+](=O)OCCNC(=O)c1ccccc1NC(=O)c1ccccc1
1.453,[O-][N+](=O)O[C@@H]1[C@H](Cc2c1cccc2)ON1C(=O)c2c(C1=O)cccc2
1.3835,CCC(=O)Nc1ccc(cc1)[N+](=O)[O-]
1.4023,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1Nc1ccccc1)Nc1ccccc1
1.8762,[O-][N+](=O)C1=C(N)[N+](=O)C(=C(C1=[NH2+])[N+](=O)[O-])N
1.2991,C/C=C/C=N/Nc1ccccc1[N+](=O)[O-]
1.3766,COc1cc(/C=N/Nc2ccc(cc2)[N+](=O)[O-])ccc1OC(=O)C
1.861,[O-][N+](=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
1.3239,Nc1ccc(cc1)c1ccccc1[N+](=O)[O-]
1.4309,O=C(c1ccc(c(c1)[N+](=O)[O-])Nc1ccccc1)Nc1ccccc1
1.4244,C/C(=C\c1cccc(c1)[N+](=O)[O-])/[N+](=O)[O-]
1.4225,Oc1ccccc1/C=N/Nc1ccc(cc1)[N+](=O)[O-]
1.3697,COc1ccc(cc1OC)/N=C/c1ccc(cc1)[N+](=O)[O-]
1.4875,O=C1Nc2c([C@@]1(O)Cc1onc(c1[N+](=O)[O-])C)cccc2
1.3937,[O-][N+](=O)c1cnc(nc1)NCc1ccccc1
1.2993,CN(c1ccc(cc1)/C=C/C=N/c1cccc(c1)[N+](=O)[O-])C
1.3261,CCN(c1ccc(cc1)/N=N/c1ccccc1[N+](=O)[O-])CC
1.5317,[O-][N+](=O)c1cccnc1NCNc1ncccc1[N+](=O)[O-]
1.4822,NNc1n(C)nc(c1[N+](=O)[O-])C
1.211,CCCN(c1ccc(cc1)[N+](=O)[O-])CCC
1.4069,NC(=O)[C@@H]1CCCN1c1ccc(cc1)[N+](=O)[O-]
1.3237,O[C@@H](c1ccccc1)CNc1ccc(cc1)[N+](=O)[O-]
1.4473,[O-][N+](=O)c1cccc(c1)/C=N/N=C/c1cccc(c1)[N+](=O)[O-]
1.3302,CCC(=O)N1C[C@@H]2[C@@]3([C@H]1CC(=O)C=C3CCC2)[N+](=O)[O-]
1.4026,OCc1cccc(c1)N(Cc1cccc(c1)[N+](=O)[O-])O
1.3875,CC(=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
1.4731,Cc1ccc(cc1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
1.3768,Cc1ccc(c(c1)[N+](=O)[O-])NN=C1C(=O)CC(CC1=O)(C)C
1.7091,[O-][N+](=O)NCCN[N+](=O)[O-]
1.4751,[O-][N+](=O)c1ccc(c2c1non2)N1CCCCC1
1.394,[O-][N+](=O)c1cccnc1OCc1ccccc1
1.637,OC(=O)/C=C/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
1.2137,[O-][N+](=O)c1c([nH]nc1C(C)(C)C)C(C)(C)C
1.335,[O-]/[N+](=C\c1ccc(cc1)[N+](=O)[O-])/CCOCc1ccccc1
1.4204,O=C(N1CCc2c1ccc(c2)[N+](=O)[O-])c1ccccc1
