smiles,Td
O=[N+]([O-])/N=c1/[nH]nc(-c2n[nH]c(-c3n[nH]/c(=N/[N+](=O)[O-])[nH]3)c2[N+](=O)[O-])[nH]1,134.4
Nc1nonc1Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],205.35
O=[N+](C(C([N+]([O-])=O)=NN1)=C1C2=NNC(C3=NC(C4=C([N+]([O-])=O)C([N+]([O-])=O)=NN4)=NN3)=N2)[O-],276
N/C(C([N+]([O-])=O)[N+]([O-])=O)=N\N=C\C=N\N=C(N)\C([N+]([O-])=O)[N+]([O-])=O,225
O=[N+](N(CC1=NN=NN1)CC2=NN=NN2)[O-],198
O=[N+](C(CN([N+]([O-])=O)N1C=NN=C1)([N+]([O-])=O)[N+]([O-])=O)[O-],102
O=[N+](C1=NNN=C1C(N2)=NNC2=N[N+]([O-])=O)[O-],168.01
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NC(C2=NON=C2NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN1)[O-],168
O=C(N1)ON=C1C2=NON=C2NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,161.1
O=[N+](C([N+]([O-])=O)C1=NNC(C2=NON=C2/N=N/C3=NON=C3C4=NC(C([N+]([O-])=O)[N+]([O-])=O)=NN4)=N1)[O-],120
Nc1nn2nnnc2c(N)c1[N+](=O)[O-],287
O=[N+](C1=NNC([N+]([O-])=O)=C1C2=NN=C(C3=NN=C(O3)C4=C([N+]([O-])=O)NN=C4[N+]([O-])=O)O2)[O-],341
O=[N+](C1=C(C([N+]([O-])=O)=NN1)NC2=NN=NN2)[O-],279
O=[N+](C1=CNN=C1C2=NC(C3=NOC(C4=NNC=C4[N+]([O-])=O)=N3)=NO2)[O-],317
O=C(C(NCCO[N+]([O-])=O)=O)NCCO[N+]([O-])=O,182
Nc1c([N+](=O)[O-])c([N+](=O)[O-])nn1-c1nnn[nH]1,222
[O-][N+](ON=C1C2=NO[N+]([O-])=C2C)=C1[N+]([O-])=O,128.7
O=C(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,142
Nc1c([N+](=O)[O-])c([N+](=O)[O-])nn2nnnc12,202
NC1=C([N+]([O-])=O)N=C([N+]([O-])=O)C(N)=[N+]1[O-],242
O=C1N([N+]([O-])=O)C2N([N+]([O-])=O)C3C(N([N+]([O-])=O)C(N3[N+]([O-])=O)=O)N([N+]([O-])=O)C2N1[N+]([O-])=O,120
O=[N+](N1N=C2C3=NN([N+]([O-])=O)N=C3C4=NN([N+]([O-])=O)N=C4C2=N1)[O-],205.43
O=[N+]([O-])c1ccc(O)cc1,280
O=[N+](C1=C(N=[N+]=[N-])C([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)C(N=[N+]=[N-])=C2[N+]([O-])=O)[O-],135
O=[N+](C1=C(N[N+]([O-])=O)C([N+]([O-])=O)=NN1CC2=NNC(CN3N=C([N+]([O-])=O)C(N[N+]([O-])=O)=C3[N+]([O-])=O)=N2)[O-],122
NC1=NC([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)N=C2N,307
O=[N+](NCCN[N+]([O-])=O)[O-],183
[O-][N+]1=C(C(N=[N+]=[N-])=NO1)C2=NO[N+]([O-])=C2[N+]([O-])=O,118.9
NC(N1N[N+]([O-])=O)=NN=C1C2=NNN=C2[N+]([O-])=O,221
O=[N+]([O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1nonc1N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],127
NC1=NC(N2N=C([N+]([O-])=O)C=C2[N+]([O-])=O)=NN1,256
CN1N=NN/C1=N/[N+]([O-])=O,125
O=[N+](/C([N+]([O-])=O)=C1NCCCCN/1)[O-],203
O=[N+]([O-])c1cn(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])n1,172
O=[N+](N(CN(C1=NON=C1C2=NOC=N2)[N+]([O-])=O)C3=NON=C3C4=NOC=N4)[O-],149
O=[N+](C(N=CN1COCN2C=NC([N+]([O-])=O)=C2[N+]([O-])=O)=C1[N+]([O-])=O)[O-],270
NC1=C([N+]([O-])=O)C(N=[N+]=[N-])=NN1,157
O=[N+](C1=NNC(N[N+]([O-])=O)=N1)[O-],135
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NN=NN1OC)[O-],148
Nc1nonc1Nc1ccc([N+](=O)[O-])c2nonc12,252
O=[N+](C1=NN2C(C3=NC([N+]([O-])=O)=NN3CCC2)=N1)[O-],328
O=[N+](C1=NN2C(N(N[N+]([O-])=O)C3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3C2)=C1[N+]([O-])=O)[O-],117
O=[N+](OCCN1N=NC(/N=N/C2=NN(CCO[N+]([O-])=O)N=N2)=N1)[O-],155
NC1=N[N+]([O-])=NC2=C([N+]([O-])=O)C=NN21,302
O=[N+](C([N+]([O-])=O)C1=NN=C(C([N+]([O-])=O)[N+]([O-])=O)O1)[O-],86
O=[N+](C([N+]([O-])=O)C1=NN(CN2C=NC(C([N+]([O-])=O)[N+]([O-])=O)=N2)C=N1)[O-],98
O=[N+](C(COC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],192
O=[N+](NC(N=N1)=NN2C1=NN=C2N[N+]([O-])=O)[O-],138
CN([N+]([O-])=O)CN1N=C([N+]([O-])=O)C=C1[N+]([O-])=O,210
N/C(NNC(CC(NN/C(N)=N/[N+]([O-])=O)=O)=O)=N\[N+]([O-])=O,180
O=[N+]([O-])c1nnn(C(CO)([N+](=O)[O-])[N+](=O)[O-])n1,123.9
NC1=NC([N+]([O-])=O)=NN1C2=NN=C(N3C(N)=NC([N+]([O-])=O)=N3)N=N2,281.6
O=[N+](C(C=C1[N+]([O-])=O)=CC([N+]([O-])=O)=C1N2C3=NON=C3C4=NON=C4C5=NON=C52)[O-],311
O=[N+](C(C1=NN=NN1)C2=NN=NN2)[O-],238
O=[N+](C1=NN(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=C1[N+]([O-])=O)[O-],110
[N-]=[N+]=NC1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2N=[N+]=[N-],151.14
O=[N+]([O-])c1nnn(C([N+](=O)[O-])[N+](=O)[O-])n1,109.3
O=[N+](C1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2[N+]([O-])=O)[O-],250
O=[N+](C(C1=NCOCN1[N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],140
O=[N+](C1=NON=C1C2=NOC=N2)[O-],157.7
O=[N+](/N=C1N(CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2N[N+]([O-])=O)N=NN/1)[O-],88
O=[N+](C1=C([N+]([O-])=O)N(N[N+]([O-])=O)C(C2=NC([N+]([O-])=O)=C([N+]([O-])=O)N2N[N+]([O-])=O)=N1)[O-],116
Cn1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],196
N=C(N[N+]([O-])=O)NC(C([N+]([O-])=O)=NN1)=C1[N+]([O-])=O,233
O=[N+]([O-])c1ncn(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],171
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NNC(/N=N/C2=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN2)=N1)[O-],117
O=[N+](CC1=NN=C(O1)C2=NON=C2N[N+]([O-])=O)[O-],93
CC1=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO1,190
CN([N+]([O-])=O)CN1N=C([N+]([O-])=O)C(N)=C1[N+]([O-])=O,165
CN([N+]([O-])=O)CCO[N+]([O-])=O,180
CN([N+]([O-])=O)CN1N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=N1,134
CCOC(CNCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,122
O=c1n(CO[N+](=O)[O-])c2nc3nonc3nc2n1CO[N+](=O)[O-],190
O=[N+](NC1=NON=C1C2=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN2)[O-],67
