smiles,Td
O=[N+](C1=NON=C1C2=NN=C(N=NC3=NN=C(C4=NON=C4[N+]([O-])=O)O3)O2)[O-],278
[O-]/[N+](C1=NN(CCO[N+]([O-])=O)N=N1)=N\C2=NN(CCO[N+]([O-])=O)N=N2,175
O=[N+](N1C(N2CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C3N([N+]([O-])=O)C1C4N([N+]([O-])=O)C(N3CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C2N4[N+]([O-])=O)[O-],216
[N-]=[N+]=Nc1c(-n2cncn2)c(-n2cncn2)c([N+](=O)[O-])c(N=[N+]=[N-])c1[N+](=O)[O-],134
O=[N+](OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)NC1=NN=C(N2C=CC=N2)N=N1)[O-],147
O=[N+](C1=C2C3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3N=NN2N=C1[N+]([O-])=O)[O-],233
O=C(NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,183
O=[N+]([O-])C(/C=N/CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],135.3
O=[N+](NC1=NNC=N1)[O-],208
O=[N+](NC1=NON=C1/N=N\C2=NON=C2N[N+]([O-])=O)[O-],100
O=[N+](C1=NNC2C([N+]([O-])=O)=NNC21)[O-],336
O=[N+](C1=C(/C=N/NC(N/N=C/C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O)=N/N=C/C3=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C3[N+]([O-])=O)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],178
O=[N+]([O-])c1ccn(C([N+](=O)[O-])[N+](=O)[O-])n1,135.8
O=[N+](C1=NC=CN1C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],126
O=[N+](C1=C([N+]([O-])=O)NC(C2=NC([N+]([O-])=O)=C([N+]([O-])=O)N2)=N1)[O-],290
O=[N+]([O-])c1no[n+]([O-])c1-c1nnn[nH]1,169
NC1=NC(N)=C([N+]([O-])=O)C=C1[N+]([O-])=O,270
O=[N+](C1=CC=CC(N2N=NN=C2)=C1)[O-],151
C/N=[N+](\[O-])c1nonc1N(CN(c1nonc1/[N+]([O-])=N\C)[N+](=O)[O-])[N+](=O)[O-],162
O=[N+]([O-])c1c(-n2cncn2)c([N+](=O)[O-])c(-n2cncn2)c([N+](=O)[O-])c1-n1cncn1,228
O=[N+](NC1=NN(CCO[N+]([O-])=O)N=N1)[O-],90
O=[N+](C1=NNC2=C1NN=C2[N+]([O-])=O)[O-],336
N#[N+]C1=C([N+]([O-])=O)N=C(C2=NC([N+]([O-])=O)=C([N+]#N)[N-]2)[N-]1,199
O=C(C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,186
NC1=NON=C1N2N=C([N+]([O-])=O)C=C2[N+]([O-])=O,245
O=[N+](NCC(N[N+]([O-])=O)CN[N+]([O-])=O)[O-],185
O=[N+](C1=NN(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C(N=[N+]=[N-])=C1[N+]([O-])=O)[O-],117
O=[N+](C1=NNC([N+]([O-])=O)=C1CC2=C([N+]([O-])=O)NN=C2[N+]([O-])=O)[O-],262
O=[N+](C(C=C1[N+]([O-])=O)=NN1C2=NON=C2[N+]([O-])=O)[O-],225
O=[N+](N1N=C(C2=NC([N+]([O-])=O)=NN2)N=C1)[O-],173
CN1N=C([N+]([O-])=O)C(N[N+]([O-])=O)=N1,112
ON(N=C1[N+]([O-])=O)C2=C1N(O)N=C2[N+]([O-])=O,296
[O-]C1=N[N+](C2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2)=NO1,229
NC1=NC(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO1,155
O=[N+](C([N+]([O-])=O)C1=NNC([N+]([O-])=O)=N1)[O-],86
CC(C)(C)N1CN/C(NC1)=C([N+]([O-])=O)\[N+]([O-])=O,180.5
[O-][N+]1=C(C2=[N+]([O-])ON=C2N[N+]([O-])=O)C(N[N+]([O-])=O)=NO1,91
[O-][N+]1=C(N)[N+]([O-])=NC(N2C(C)=C([N+]([O-])=O)C(C)=N2)=N1,211
CN(C([N+]([O-])=O)=C1N=[N+]=[N-])N=C1[N+]([O-])=O,161
O=[N+](C1=NNC([N+]([O-])=O)=C1CCC2=C([N+]([O-])=O)NN=C2[N+]([O-])=O)[O-],351
CC1N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)C1,117
[O-][N+]1=C(C([N+]([O-])=O)=NO1)C2=CC=C([N+]([O-])=O)C(C3=[N+]([O-])ON=C3[N+]([O-])=O)=C2,172
CC(OCC([N+]([O-])=O)([N+]([O-])=O)COC(C)=O)=O,241
[C-]#[N+]c1nonc1N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],156
O=[N+](C([N+]([O-])=O)C1=NOC=N1)[O-],165
O=[N+](/N=C1N(CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2[N+]([O-])=O)N=NN/1)[O-],148
CN([N+]([O-])=O)CCN=[N+]=[N-],236
NC1=C([N+]([O-])=O)N(N=C1[N+]([O-])=O)C2=C([N+]([O-])=O)NN=C2[N+]([O-])=O,284
[O-][N+]1=C([N+]([O-])=O)C(C2=NO[N+]([O-])=C2C3=NO[N+]([O-])=C3[N+]([O-])=O)=NO1,130.1
O=C(OCCNC(C(NCCOC(N[N+]([O-])=O)=O)=O)=O)N[N+]([O-])=O,175
CC1=[N+]([O-])ON=C1N([N+]([O-])=O)CN([N+]([O-])=O)C2=NO[N+]([O-])=C2C,124.5
NC1=NC(N=[N+]=[N-])=NN=C1[N+]([O-])=O,162
O=[N+](/C([N+]([O-])=O)=C1NCN(N=O)CN\1)[O-],155
O=[N+](N(CN1C=C([N+]([O-])=O)C([N+]([O-])=O)=N1)CN2C=C([N+]([O-])=O)C([N+]([O-])=O)=N2)[O-],261
O=[N+](C1=CNN=C1C2=NN=C(C3=NNC=C3[N+]([O-])=O)O2)[O-],338
N/C(N)=C([N+]([O-])=O)\[N+]([O-])=O,274
[N-]=[N+]=Nc1n[nH]c(N[N+](=O)[O-])n1,143
O=[N+](/C([N+]([O-])=O)=C1NCN(CN2CN/C(NC2)=C([N+]([O-])=O)/[N+]([O-])=O)CN\1)[O-],188
O=C(N[N+]([O-])=O)NC1=NON=C1[N+]([O-])=O,122
Nc1nnn(Cc2n[nH]c(N[N+](=O)[O-])n2)n1,218
O=[N+](C1=C(/C=C/C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1/C=C/C3=CC=C([N+]([O-])=O)C=C3[N+]([O-])=O)[O-],275.1
O=[N+](C(C([N+]([O-])=O)=C1[N+]([O-])=O)=NN1CC2=NN=C(CN3N=C([N+]([O-])=O)C([N+]([O-])=O)=C3[N+]([O-])=O)N2/N=N/N4C(CN5N=C([N+]([O-])=O)C([N+]([O-])=O)=C5[N+]([O-])=O)=NN=C4CN6N=C([N+]([O-])=O)C([N+]([O-])=O)=C6[N+]([O-])=O)[O-],151
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)N1C=C([N+]([O-])=O)N=C1)[O-],119
[O-][N+]1=C(C2=NON=C2[N+]([O-])=O)C(C3=NON=C3[N+]([O-])=O)=NO1,231
O=[N+](C1=CNN=C1[N+]([O-])=O)[O-],285
O=[N+](C1=NN(/N=N/N2N=C([N+]([O-])=O)C=N2)N=C1)[O-],227
[O-][N+](ON=C1[N+]([O-])=O)=C1C2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C2,152.9
Nn1cnc([N+](=O)[O-])c1[N+](=O)[O-],235
O=[N+](/N=C1NN=NN\1CCO[N+]([O-])=O)[O-],122
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=N1)[O-],157
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NN=NN1CCN2N=NN=C2NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],183
NC1=NC([N+]([O-])=O)=NN1CN(CN2N=C([N+]([O-])=O)N=C2N)[N+]([O-])=O,246
CC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,181
